train/rewards,time/fps,time/episodes,time/total_timesteps,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,train/n_updates,train/learning_rate,rollout/ep_rew_mean,train/actor_loss
-1.975612,21,4,408,18,0.1887641552032209,102.0,306,0.001,-202.14637374999998,2.842343206499137
-6.4024043,21,8,816,38,2.3645209547351387,102.0,714,0.001,-655.295673125,7.026476084017286
-6.376923,21,12,1224,57,7.441593115236245,102.0,1122,0.001,-532.6595375833333,10.145286859250536
-6.085767,21,16,1632,77,19.060185026888753,102.0,1530,0.001,-409.86254587499997,9.546265443166098
-2.8846302,20,20,2040,97,19.832430687605164,102.0,1938,0.001,-335.66305704999996,8.961779070835487
-2.6105464,20,24,2448,116,33.93060070510004,102.0,2346,0.001,-284.673843125,8.151906060237511
-4.868296,20,28,2856,136,31.049172056656257,102.0,2754,0.001,-247.96406267857145,7.468338382010367
-1.1672696,20,32,3264,155,39.76581137320574,102.0,3162,0.001,-219.8674361875,6.529199015860464
-1.4983406,20,36,3672,175,24.91075284691418,102.0,3570,0.001,-198.20442258333333,6.289100520751056
-2.6625206,20,40,4080,194,23.53210560772933,102.0,3978,0.001,-180.33537215,5.716836863873052
-1.1752533,20,44,4488,213,23.737352931031992,102.0,4386,0.001,-166.00121370454545,5.376552506989124
-2.846898,20,48,4896,233,19.57559316999772,102.0,4794,0.001,-153.75630952083336,5.315729926614201
-1.1474476,20,52,5304,253,16.458091375290177,102.0,5202,0.001,-143.32576938461537,5.143663252101225
-1.7479519,20,56,5712,272,10.445827358493618,102.0,5610,0.001,-134.10617282142857,4.831969247144811
-2.3362436,20,60,6120,292,10.39879986906753,102.0,6018,0.001,-126.00067146666667,4.569098271575629
-1.3157928,20,64,6528,311,9.516342840650502,102.0,6426,0.001,-119.034615296875,4.764355743632597
-0.77476525,20,68,6936,330,9.011449982138242,102.0,6834,0.001,-112.96337670588234,4.723706867180619
-0.93875575,20,72,7344,350,8.870109253069934,102.0,7242,0.001,-107.39935826388889,4.459308656991697
-0.46921307,20,76,7752,369,10.959657217065493,102.0,7650,0.001,-102.51741869736843,4.73991527744368
-1.0480138,21,80,8160,388,10.71160282574448,102.0,8058,0.001,-98.1433299375,4.690771818161011
-1.0451411,20,84,8568,408,13.411716282075526,102.0,8466,0.001,-94.04562303571429,4.77819870967491
-0.66147995,20,88,8976,427,8.799152569735751,102.0,8874,0.001,-90.36665956818182,4.50770349596061
-2.1728592,20,92,9384,447,11.964006867478876,102.0,9282,0.001,-87.07995852173913,4.381676136278639
