train/rewards,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,train/actor_loss
-0.095572874,19992,0.10673585057477741,102.0,196,56,-10.21186322,356,0.001,419934,2.361181530297971
-0.2605906,20400,0.09864372179350432,102.0,200,56,-10.247295290000002,363,0.001,420342,2.334251188764385
-0.110393696,20808,0.0862743662688516,102.0,204,56,-10.297901589999999,370,0.001,420750,2.2899775411568437
-0.057853594,21216,0.10038073927931049,102.0,208,56,-10.332363390000001,378,0.001,421158,2.2489173248702405
-0.12455786,21624,0.09972427288691203,102.0,212,56,-10.34568124,385,0.001,421566,2.287422731810925
-0.1314089,22032,0.10048017387880999,102.0,216,56,-10.345863790000001,392,0.001,421974,2.2831151578940596
-0.08877842,22440,0.0909992942732631,102.0,220,56,-10.381286460000002,399,0.001,422382,2.2613404358134552
-0.12673484,22848,0.09516860225110077,102.0,224,56,-10.40819423,407,0.001,422790,2.2340694221795774
-0.10787721,23256,0.07655731634255133,102.0,228,56,-10.416852069999997,414,0.001,423198,2.223653685812857
-0.13089344,23664,0.08197333435436674,102.0,232,56,-10.371884049999998,421,0.001,423606,2.220526234776366
-0.122765854,24072,0.09016605758783865,102.0,236,56,-10.32755112,428,0.001,424014,2.2441729470795275
-0.11949533,24480,0.08189700555750261,102.0,240,56,-10.2969173,436,0.001,424422,2.197882890701294
-0.08767386,24888,0.07986468693935404,102.0,244,56,-10.297729020000002,443,0.001,424830,2.1322001359042
-0.09958604,25296,0.14254605676065765,102.0,248,56,-10.260127950000001,450,0.001,425238,2.191045775133021
-0.094255775,25704,0.06812849554105424,102.0,252,56,-10.235156850000001,458,0.001,425646,2.1256006558736167
-0.10798593,26112,0.058654872837531215,102.0,256,56,-10.219008899999999,465,0.001,426054,2.104876480850519
-0.116608426,26520,0.08321803953389034,102.0,260,56,-10.14443657,472,0.001,426462,2.120322648216696
-0.11054089,26928,0.07637232910914749,102.0,264,56,-10.069853819999999,479,0.001,426870,2.0760032780030193
-0.14213699,27336,0.06916584086823552,102.0,268,56,-10.05632707,487,0.001,427278,2.039819023188423
-0.114915326,27744,0.06424923625993817,102.0,272,56,-9.94421902,494,0.001,427686,2.042765079760084
-0.114835404,28152,0.06439482115720417,102.0,276,56,-9.8076481,501,0.001,428094,2.037503716992397
-0.11636156,28560,0.06759890503998772,102.0,280,56,-9.72009652,509,0.001,428502,2.044000078650082
-0.1429749,28968,0.06426352066188759,102.0,284,56,-9.64132369,516,0.001,428910,1.9756437446556838
-0.09637156,29376,0.060616672774046365,102.0,288,56,-9.60196514,523,0.001,429318,1.9589342907363294
-0.19901621,29784,0.06849015607297712,102.0,292,56,-9.645122330000001,531,0.001,429726,1.9787974708220537
-0.082687765,30192,0.12585271938758738,102.0,296,56,-9.61346288,538,0.001,430134,1.941950982692195
-0.22092396,30600,0.09682033880266781,102.0,300,56,-9.517392849999998,545,0.001,430542,1.9367682419571222
-0.10412861,31008,0.05931734895406693,102.0,304,56,-9.41386134,552,0.001,430950,1.9473189863504148
-0.15440692,31416,0.059645069274576565,102.0,308,56,-9.34808,560,0.001,431358,1.9410137358833761
-0.121579446,31824,0.06835781554143656,102.0,312,56,-9.31513566,567,0.001,431766,1.9281591106863583
-0.0968088,32232,0.06247277274344336,102.0,316,56,-9.29343681,574,0.001,432174,1.903183334013995
