train/learning_rate,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/rewards,time/fps,train/actor_loss,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/n_updates
0.001,116,-833.7678539199999,1339,-2.9200943,29,71.8523499528332,39208,338.0,70.1367346337561,38870
0.001,120,-831.9098994899998,1385,-2.6811476,29,72.18666643221702,40560,338.0,69.35533218412004,40222
0.001,124,-828.72308534,1431,-2.5353358,29,71.62987798205494,41912,338.0,70.46400395652951,41574
0.001,128,-825.10108882,1477,-2.6243105,29,70.85690623627612,43264,338.0,66.51838456808463,42926
0.001,132,-814.69520205,1525,-2.526162,29,71.1651856913369,44616,338.0,56.77800482687866,44278
0.001,136,-801.0106895800002,1571,-2.3720026,29,70.69370816021981,45968,338.0,67.1300006984959,45630
0.001,140,-788.63377712,1618,-1.9291464,29,69.65388080213197,47320,338.0,72.87551987382787,46982
0.001,144,-777.4696884599999,1667,-2.9189396,29,69.58055031229053,48672,338.0,62.86019824101375,48334
0.001,148,-782.60798806,1716,-2.858082,29,69.03752621532192,50024,338.0,54.65121903363064,49686
0.001,152,-789.29474213,1763,-2.3670728,29,69.4479596064641,51376,338.0,47.01679035897791,51038
0.001,156,-786.33681268,1810,-2.209565,29,70.44202231232231,52728,338.0,46.41392439780151,52390
0.001,160,-756.4201956600002,1857,-2.2026594,29,70.27988582814234,54080,338.0,58.91539669742246,53742
0.001,164,-708.1318087,1904,-2.3205247,29,71.40923340927215,55432,338.0,45.90141605061187,55094
0.001,168,-654.4419932400001,1950,-1.9219661,29,71.92309078239126,56784,338.0,52.36021352942878,56446
0.001,172,-597.15437935,1996,-1.9752116,29,72.01708397498497,58136,338.0,56.525706131782755,57798
0.001,176,-545.9549474800001,2044,-2.5522165,29,72.10233162422857,59488,338.0,43.8334357950109,59150
0.001,180,-507.22332776999997,2091,-1.9159863,29,72.00546431682518,60840,338.0,42.9203866670823,60502
0.001,184,-470.22254214000003,2138,-2.3898172,29,71.25706531592375,62192,338.0,46.95745201646929,61854
0.001,188,-442.1623252499999,2185,-1.6435356,29,71.33648519120977,63544,338.0,34.23904382124455,63206
0.001,192,-426.5623505199999,2232,-1.852726,29,70.625724341037,64896,338.0,43.86759797637985,64558
0.001,196,-422.97314985,2279,-2.0865636,29,70.36508291571803,66248,338.0,43.14653221248875,65910
0.001,200,-424.0668326500001,2328,-1.770008,29,69.97195788953431,67600,338.0,35.75777543931318,67262
0.001,204,-422.89845882000003,2374,-2.008802,29,69.14495881210418,68952,338.0,42.724633297271275,68614
