rollout/ep_len_mean,rollout/ep_rew_mean,train/rewards,time/total_timesteps,time/fps,train/n_updates,time/episodes,train/actor_loss,time/time_elapsed,train/learning_rate,train/critic_loss
102.0,-203.53609881,-1.9696338,10200,54,110160,100,57.43817916570925,187,0.001,78.39493033465217
102.0,-202.14570937999997,-1.950851,10608,54,110568,104,56.91064640119964,195,0.001,81.21381649316525
102.0,-201.91347992999997,-1.9583737,11016,54,110976,108,56.83875768324908,202,0.001,64.66049535601746
102.0,-214.14877338999997,-2.2076344,11424,54,111384,112,57.14803478764553,210,0.001,66.08594055736766
102.0,-216.66286975000003,-2.0643861,11832,54,111792,116,56.830107520608344,217,0.001,150.57308643004473
102.0,-226.19054389000001,-2.195951,12240,54,112200,120,56.39746161068187,225,0.001,64.72755917380837
102.0,-220.30055682999998,-1.9913774,12648,54,112608,124,56.12950807459214,232,0.001,98.70973150402892
102.0,-216.57673910999998,-1.9636855,13056,54,113016,128,55.17063694374234,240,0.001,78.25894183738559
102.0,-211.25478682000002,-1.8857307,13464,54,113424,132,54.84292138791552,247,0.001,86.77416184369255
102.0,-200.71536001,-1.9075471,13872,54,113832,136,54.49281198838178,254,0.001,80.8054599200978
102.0,-193.55065229000004,-1.7750959,14280,54,114240,140,54.02914600746304,262,0.001,81.7456007938759
102.0,-188.85002281,-1.894856,14688,54,114648,144,53.37949416216682,269,0.001,89.61226464252846
102.0,-183.11635855999998,-2.5659115,15096,54,115056,148,53.89092157401291,277,0.001,70.7351344052483
102.0,-178.45664273999995,-1.6086259,15504,54,115464,152,53.03501121670592,284,0.001,87.08224434946098
102.0,-172.78210062999997,-1.9918296,15912,54,115872,156,53.378631442200906,291,0.001,62.664859771728516
102.0,-166.53593759,-1.9387082,16320,54,116280,160,53.03922929950789,299,0.001,58.0552087391124
102.0,-161.73074572000002,-2.0808017,16728,54,116688,164,53.04664783851773,306,0.001,79.69732363083783
102.0,-156.85838652,-1.7832551,17136,54,117096,168,52.72187274110083,313,0.001,80.48147345524208
102.0,-152.99372776,-1.601725,17544,54,117504,172,52.71282083847944,321,0.001,62.89206933507732
102.0,-150.13437908,-1.787128,17952,54,117912,176,52.318797392003674,328,0.001,67.52637091337466
102.0,-146.96465213,-2.031877,18360,54,118320,180,51.982462265912226,336,0.001,67.7706004451303
102.0,-143.24636326,-1.950372,18768,54,118728,184,51.544070075539985,343,0.001,61.70654981276568
102.0,-139.95888421,-1.6396155,19176,54,119136,188,51.06597369324927,350,0.001,66.13714875894435
102.0,-136.20855060000002,-1.5168099,19584,54,119544,192,50.78543599446615,358,0.001,62.36016292665519
102.0,-132.17199526,-1.5141886,19992,54,119952,196,50.31875902063706,365,0.001,58.02874691346113
102.0,-128.70130436,-1.4023153,20400,54,120360,200,49.65199279785156,372,0.001,62.1652803327523
102.0,-124.72169444,-1.5991174,20808,54,120768,204,48.96247646855373,380,0.001,63.37071773117664
102.0,-120.57508585000001,-1.6549444,21216,54,121176,208,48.32683443555645,387,0.001,56.19374508951225
102.0,-103.40355328000004,-1.9457994,21624,54,121584,212,47.271105373606964,394,0.001,59.74540412192251
102.0,-95.37111512999999,-1.5805345,22032,54,121992,216,47.019096823299634,402,0.001,61.27874281827141
102.0,-79.80009332,-1.5247377,22440,54,122400,220,46.3449244779699,409,0.001,50.73231710172167
102.0,-76.62016779,-1.2919492,22848,54,122808,224,45.73699105954638,417,0.001,53.13122809167002
102.0,-74.68793261,-1.5852333,23256,54,123216,228,45.62624620923809,424,0.001,56.99753281181934
102.0,-72.42188440999999,-1.204969,23664,54,123624,232,45.37214630725337,432,0.001,48.693018057767084
102.0,-70.14347269,-1.4569408,24072,54,124032,236,44.43298220166973,439,0.001,51.80337339756536
102.0,-65.82886608,-1.4189994,24480,54,124440,240,44.03308464499081,447,0.001,53.48173692179661
102.0,-62.183708530000004,-1.2319158,24888,54,124848,244,42.72290233537262,454,0.001,46.94832668584936
102.0,-59.08871654999999,-1.2981497,25296,54,125256,248,41.94966013291303,462,0.001,45.76330185871498
102.0,-55.826120499999995,-1.2812467,25704,54,125664,252,41.50726617551317,469,0.001,52.61777121412988
102.0,-54.10231546999999,-1.2701023,26112,54,126072,256,40.30165668562347,477,0.001,36.4014223837385
102.0,-52.30641081000001,-1.3441991,26520,54,126480,260,39.87765547808479,484,0.001,33.16857762430229
