time/fps,train/actor_loss,time/time_elapsed,time/total_timesteps,train/rewards,train/n_updates,train/learning_rate,time/episodes,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean
58,2.0811622376535452,6,408,-0.28342307,100368,0.001,4,102.0,0.0865450795082485,-31.07732275
57,1.3111388624883165,14,816,-0.16181327,100776,0.001,8,102.0,0.04861595289891257,-20.404877625
57,1.0967596033040214,21,1224,-0.1745017,101184,0.001,12,102.0,0.03345434019780334,-16.747556000000003
56,0.960311959771549,28,1632,-0.17293714,101592,0.001,16,102.0,0.028017564347999936,-14.906648875
56,0.9260814739208595,36,2040,-0.13617527,102000,0.001,20,102.0,0.0223522798167359,-13.5444853
56,0.8926558926993725,43,2448,-0.16388987,102408,0.001,24,102.0,0.019634759962083956,-12.793083333333334
56,0.88538744987226,50,2856,-0.14468902,102816,0.001,28,102.0,0.027587397101645667,-12.221034392857144
56,0.880879400991926,58,3264,-0.08979163,103224,0.001,32,102.0,0.019127811259571827,-11.77138615625
55,0.8538996109775469,65,3672,-0.11584817,103632,0.001,36,102.0,0.014818337631831859,-11.46759075
55,0.8271712427045784,72,4080,-0.11701861,104040,0.001,40,102.0,0.015163075845396402,-11.202856700000002
55,0.8556502554930893,80,4488,-0.11155889,104448,0.001,44,102.0,0.019309976845797078,-10.966190568181819
56,0.8721618640656564,87,4896,-0.09648234,104856,0.001,48,102.0,0.017736658239371927,-10.723635916666666
56,0.8363595534773434,94,5304,-0.10693267,105264,0.001,52,102.0,0.018462849461345698,-10.538290096153846
56,0.8710035120739656,101,5712,-0.08873575,105672,0.001,56,102.0,0.013584523721981575,-10.399915857142858
55,0.8679263942381915,109,6120,-0.08746708,106080,0.001,60,102.0,0.022637832142850933,-10.271778216666668
55,0.8509276567720899,116,6528,-0.09216404,106488,0.001,64,102.0,0.011990402551258312,-10.132841078125
55,0.8903761295711293,123,6936,-0.09261218,106896,0.001,68,102.0,0.01342033266601171,-10.046440529411766
55,0.8956105463645038,131,7344,-0.12889996,107304,0.001,72,102.0,0.01715115861346324,-9.952224069444444
55,0.8591934652889476,138,7752,-0.071183816,107712,0.001,76,102.0,0.011473513404637868,-9.871834157894737
56,0.847976051124872,145,8160,-0.13275903,108120,0.001,80,102.0,0.0224988724461154,-9.8882997625
55,0.8832837635395574,153,8568,-0.09221223,108528,0.001,84,102.0,0.013469150874252413,-9.831718845238097
55,0.8539614618993273,160,8976,-0.10338476,108936,0.001,88,102.0,0.013657010468544768,-9.726176545454546
