,dir,dist,mean_eps_reward,std_eps_reward,mean_step_reward
0,x,[0. 0. 0.],-6.4112605222132215,0.06139711577450833,-0.06411260522213222
1,x,[0.01111111 0.         0.        ],-6.411135328911162,0.06323088561553551,-0.06411135328911162
2,x,[0.02222222 0.         0.        ],-6.493262155949196,0.05564590081250516,-0.06493262155949196
3,x,[0.03333333 0.         0.        ],-6.387408510076057,0.05446636011450473,-0.06387408510076056
4,x,[0.04444444 0.         0.        ],-6.431549306682427,0.050839352826094655,-0.06431549306682427
5,x,[0.05555556 0.         0.        ],-6.217797708702467,0.07575418855521004,-0.062177977087024675
6,x,[0.06666667 0.         0.        ],-6.252849809941836,0.3664961700019114,-0.06252849809941835
7,x,[0.07777778 0.         0.        ],-5.821206384927791,0.22827396235714126,-0.05821206384927791
8,x,[0.08888889 0.         0.        ],-5.628368046027997,0.6023816487342788,-0.05628368046027996
9,x,[0.1 0.  0. ],-5.679404381793574,1.070829322432373,-0.05679404381793574
10,z,[0. 0. 0.],-6.4112605222132215,0.06139711577450833,-0.06411260522213222
11,z,[0.         0.         0.01111111],-6.0684003766994765,0.19898696497465673,-0.06068400376699477
12,z,[0.         0.         0.02222222],-5.351935722145451,0.18922243017221754,-0.05351935722145451
13,z,[0.         0.         0.03333333],-4.718134373317298,0.09199553214744782,-0.04718134373317298
14,z,[0.         0.         0.04444444],-4.2093445293915766,0.07510228378646057,-0.04209344529391577
15,z,[0.         0.         0.05555556],-3.7757898174022557,0.07921794126756786,-0.03775789817402256
16,z,[0.         0.         0.06666667],-3.484983758069575,0.035801124022822726,-0.03484983758069575
17,z,[0.         0.         0.07777778],-6.820159601513296,0.04407282271289416,-0.06820159601513297
18,z,[0.         0.         0.08888889],-47.54413356287599,1.4616693656840094,-0.4754413356287599
19,z,[0.  0.  0.1],-138.2789065053997,6.9552289683021415,-1.3827890650539971
20,xyz,[0. 0. 0.],-6.4112605222132215,0.06139711577450833,-0.06411260522213222
21,xyz,[0.00555556 0.00555556 0.00555556],-6.31025869192672,0.19077130435653128,-0.06310258691926719
22,xyz,[0.01111111 0.01111111 0.01111111],-5.9102093308029,0.23241818972602352,-0.059102093308029
23,xyz,[0.01666667 0.01666667 0.01666667],-5.50959380591424,0.16434880938770619,-0.055095938059142396
24,xyz,[0.02222222 0.02222222 0.02222222],-5.098604322382016,0.17447031407083843,-0.05098604322382016
25,xyz,[0.02777778 0.02777778 0.02777778],-4.66649779603722,0.12040986227856573,-0.046664977960372195
26,xyz,[0.03333333 0.03333333 0.03333333],-4.30311069872793,0.09806986193128518,-0.0430311069872793
27,xyz,[0.03888889 0.03888889 0.03888889],-3.9828514123710193,0.053266779258047625,-0.03982851412371019
28,xyz,[0.04444444 0.04444444 0.04444444],-3.6885101808341765,0.013607668996028388,-0.036885101808341765
29,xyz,[0.05 0.05 0.05],-3.815184842062687,0.20355406546631885,-0.03815184842062687
