train/learning_rate,time/fps,time/time_elapsed,time/episodes,train/n_updates,train/actor_loss,time/total_timesteps,train/rewards,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean
0.001,30,852,76,625638,10.276588470978144,25688,-0.24273115,-93.40296315789473,0.005724449333398653,338.0
0.001,30,897,80,626990,10.413135308485765,27040,-0.28557554,-93.17240873749999,0.00801246476596629,338.0
0.001,30,941,84,628342,10.259090542087893,28392,-0.23382412,-93.15726915476189,0.005802514652870375,338.0
0.001,30,987,88,629694,10.451584446359668,29744,-0.27661434,-93.07734126136364,0.006101728681496967,338.0
0.001,30,1032,92,631046,10.179404371588893,31096,-0.27101752,-93.07340721739132,0.00602491918094346,338.0
0.001,30,1077,96,632398,10.273995436154879,32448,-0.2752496,-92.97322223958332,0.005701295268231418,338.0
0.001,30,1123,100,633750,10.237868943863367,33800,-0.29028952,-92.97281691999999,0.00528353127408442,338.0
0.001,30,1168,104,635102,10.087685096898728,35152,-0.24949782,-91.81643031,0.006772498067705368,338.0
0.001,30,1214,108,636454,10.14782639509122,36504,-0.2716289,-91.77552189999999,0.00518025180012175,338.0
0.001,30,1260,112,637806,10.156723157893977,37856,-0.23795149,-91.62778324000001,0.005955900774425524,338.0
0.001,30,1306,116,639158,10.042949591868023,39208,-0.26651993,-91.48937752000002,0.005950088645799979,338.0
0.001,30,1351,120,640510,10.085637950332913,40560,-0.25543734,-91.51454412,0.006161790485108084,338.0
0.001,30,1396,124,641862,10.330993147291375,41912,-0.29687244,-91.79541617999999,0.0055319451301264954,338.0
0.001,29,1442,128,643214,10.219464790186233,43264,-0.29913688,-91.86726626,0.006568987280703508,338.0
0.001,29,1489,132,644566,10.02360819641655,44616,-0.3125499,-91.84785954999998,0.005632017683320453,338.0
0.001,29,1535,136,645918,9.953630862151376,45968,-0.23680267,-91.99633406000002,0.006154659038861475,338.0
0.001,29,1580,140,647270,10.091458283937895,47320,-0.2955724,-91.9684281,0.005846313116162707,338.0
0.001,29,1626,144,648622,9.983675262631749,48672,-0.24327408,-91.69432955,0.005280629463063983,338.0
0.001,29,1671,148,649974,10.141743645865537,50024,-0.28238997,-91.89343389,0.0057500563396592815,338.0
0.001,29,1717,152,651326,10.000073720717571,51376,-0.22167684,-91.79632636000001,0.005890443312147489,338.0
0.001,29,1763,156,652678,9.968472844750218,52728,-0.30757955,-91.82683817000002,0.0065142890712598985,338.0
0.001,29,1808,160,654030,10.196304547010794,54080,-0.28369388,-91.67929811,0.006489495308683998,338.0
0.001,29,1854,164,655382,10.324683158355352,55432,-0.2724138,-91.62607950000002,0.005234504130272162,338.0
0.001,29,1899,168,656734,10.205421656546507,56784,-0.30672145,-91.61925043000002,0.00671642232678015,338.0
0.001,29,1944,172,658086,10.139772096329187,58136,-0.2619733,-91.89490129000002,0.005604575501793455,338.0
0.001,29,1990,176,659438,10.118466354686127,59488,-0.1914952,-91.98469535,0.006482179625891149,338.0
0.001,29,2036,180,660790,9.938167588950614,60840,-0.27971897,-92.47303678000002,0.0062651304072099765,338.0
0.001,29,2082,184,662142,10.226464779419306,62192,-0.21885285,-92.48217275,0.006045877536725716,338.0
0.001,29,2129,188,663494,10.150925362603905,63544,-0.2350049,-92.71974752999999,0.005507214942026729,338.0
0.001,29,2175,192,664846,10.02397951430823,64896,-0.25686637,-92.86178129000001,0.006182877669943023,338.0
0.001,29,2220,196,666198,10.26926412525967,66248,-0.25379142,-92.84765054999998,0.006705291978408687,338.0
0.001,29,2266,200,667550,10.119722383262138,67600,-0.2935433,-92.81844418,0.005662568371616216,338.0
0.001,29,2311,204,668902,10.092835742340991,68952,-0.30839825,-93.05450255999999,0.005614595657170436,338.0
0.001,29,2357,208,670254,10.04037195126686,70304,-0.28652346,-93.26951697,0.00591054209439117,338.0
0.001,29,2403,212,671606,10.217018584527914,71656,-0.24685173,-93.35334931999999,0.006561317290289647,338.0
0.001,29,2449,216,672958,10.069762957872019,73008,-0.33101803,-93.40159132000001,0.0058862569248689526,338.0
0.001,29,2494,220,674310,10.178124492690408,74360,-0.2679316,-93.30246142,0.006052818637721505,338.0
0.001,29,2540,224,675662,10.039419002081516,75712,-0.26106742,-93.31287316000002,0.006365184411792272,338.0
0.001,29,2585,228,677014,10.22323089802759,77064,-0.31593835,-93.50235087000003,0.007105582477745308,338.0
0.001,21,3588,232,678366,9.998458859483167,78416,-0.30237418,-93.62025884999997,0.006241291537522697,338.0
0.001,21,3726,236,679718,10.219774466294508,79768,-0.21517295,-93.59836706,0.0069373353562157975,338.0
0.001,21,3771,240,681070,10.142944928457046,81120,-0.2785876,-93.63440358,0.0058152767644985715,338.0
0.001,21,3816,244,682422,10.262252375924376,82472,-0.31167108,-93.73816911000002,0.006696143357039115,338.0
0.001,21,3860,248,683774,10.373720581009543,83824,-0.2874013,-93.7632074,0.0058948106852982785,338.0
0.001,21,3905,252,685126,10.296117596372344,85176,-0.34195137,-93.86506541,0.006097187396943481,338.0
0.001,21,3949,256,686478,10.205471603122689,86528,-0.25667477,-93.54923207,0.006226127159219654,338.0
0.001,22,3994,260,687830,10.184790343222533,87880,-0.29743233,-93.62804768,0.006968966730010624,338.0
0.001,22,4039,264,689182,10.228021771244748,89232,-0.2318899,-93.93559851999999,0.006237273956593898,338.0
0.001,18,5000,268,690534,10.07630261867004,90584,-0.23513645,-94.11209857000001,0.005895228618370182,338.0
0.001,18,5084,272,691886,10.094836706240502,91936,-0.27396083,-93.84934512000001,0.006188006461983734,338.0
