time/episodes,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,train/rewards,train/learning_rate,train/critic_loss,train/n_updates,time/fps,time/time_elapsed
324,109512,338.0,64.72601076837122,-158.64626177,-2.0978677,0.001,70.82450535029349,109174,22,4942
328,110864,338.0,64.63671258779672,-157.54704178999998,-1.1319777,0.001,65.12817571007994,110526,22,4986
332,112216,338.0,63.7031002608982,-155.58669254,-1.5435545,0.001,66.12874815238298,111878,22,5031
336,113568,338.0,63.04114834937823,-154.42647395999998,-1.4535745,0.001,44.262569802752616,113230,22,5076
340,114920,338.0,61.73295448799811,-153.9688452,-1.1334132,0.001,67.37983985060066,114582,22,5120
344,116272,338.0,60.70379013422678,-152.75280209000002,-1.5910327,0.001,48.676913377095964,115934,22,5165
348,117624,338.0,60.900971655309554,-151.80818307,-1.6837742,0.001,46.06869060471213,117286,22,5210
352,118976,338.0,59.37582122080425,-150.12277413,-1.3100888,0.001,45.31733545749145,118638,22,5254
356,120328,338.0,58.71086192836423,-148.32483184999998,-1.1372529,0.001,42.99755624624399,119990,22,5299
360,121680,338.0,57.93201710627629,-146.76584002999996,-1.5293097,0.001,38.88031651564604,121342,22,5345
364,123032,338.0,56.86909446490587,-144.37708358,-1.1708844,0.001,40.022058709133304,122694,22,5393
368,124384,338.0,56.73570348525188,-142.67515407999997,-1.6628714,0.001,43.78428667395778,124046,22,5439
372,125736,338.0,55.65918341190857,-139.90100174,-1.325272,0.001,42.55011912915833,125398,22,5484
376,127088,338.0,55.41351896207008,-137.43719658,-1.1498842,0.001,42.95164611635829,126750,22,5529
380,128440,338.0,54.15400235328448,-134.7779918,-1.3011525,0.001,44.04254255915534,128102,23,5574
384,129792,338.0,54.54317266701241,-132.29808493,-1.2330433,0.001,34.637511254767695,129454,23,5622
388,131144,338.0,53.94758296718259,-128.01071305000002,-0.90433335,0.001,40.10205644686547,130806,23,5668
392,132496,338.0,53.253869750795985,-124.11783757000003,-1.1243323,0.001,35.805525851672925,132158,23,5713
396,133848,338.0,52.16117685080985,-120.29422496000001,-1.6474713,0.001,32.17599167908437,133510,23,5757
400,135200,338.0,51.30971933398727,-116.72292875,-0.9571019,0.001,39.20703863533291,134862,23,5802
404,136552,338.0,50.80834978995239,-112.30239988000001,-1.3344688,0.001,39.75966033004445,136214,23,5848
408,137904,338.0,50.2412559464133,-106.89405657000002,-1.6440217,0.001,37.98151959470038,137566,23,5894
412,139256,338.0,49.052194358329096,-103.00196729999999,-1.1375954,0.001,37.9672215013109,138918,23,5940
416,140608,338.0,48.185940330550515,-98.34778500000002,-1.0121971,0.001,31.85706849775371,140270,23,5985
420,141960,338.0,47.602120980708555,-94.84796646,-1.1206524,0.001,52.91318670109179,141622,23,6031
424,143312,338.0,47.55401105711446,-90.73026685999999,-0.98325676,0.001,32.340905162004326,142974,23,6078
428,144664,338.0,46.69708723711544,-88.49820713999999,-1.0960397,0.001,47.10418860023544,144326,23,6125
432,146016,338.0,46.52697408552,-87.96762256999999,-1.5837578,0.001,34.95135751560595,145678,23,6173
436,147368,338.0,45.48719112689678,-86.91874318000002,-1.0749594,0.001,36.55482850131199,147030,23,6221
440,148720,338.0,44.903467799079486,-86.26993097,-1.1800007,0.001,40.90754460159844,148382,23,6267
444,150072,338.0,45.603457027638456,-86.33952681999999,-1.5326324,0.001,47.913236867746654,149734,23,6313
448,151424,338.0,45.306058578942654,-85.97653643,-1.2631706,0.001,33.44094037163187,151086,23,6359
452,152776,338.0,44.44996882331442,-86.40307913000001,-1.0045516,0.001,31.87432427871862,152438,23,6406
456,154128,338.0,43.713791638436405,-86.50012891,-0.7735903,0.001,32.945692708506385,153790,23,6453
460,155480,338.0,43.20800957312951,-86.69776761000001,-0.9255279,0.001,29.951870933792296,155142,23,6500
464,156832,338.0,43.41871716425969,-86.88302849,-0.9152946,0.001,43.402464631746504,156494,23,6548
468,158184,338.0,43.507613119994396,-86.43143894,-1.5390822,0.001,32.539886289094326,157846,23,6596
472,159536,338.0,42.437879483375326,-86.02310874000001,-1.5377728,0.001,33.64311208950697,159198,24,6643
476,160888,338.0,41.36630197107439,-86.08892870000001,-1.4486791,0.001,37.191092191363225,160550,24,6689
480,162240,338.0,41.7272616053474,-86.05297627999998,-1.2708387,0.001,26.791329621563296,161902,24,6736
484,163592,338.0,41.512193533090446,-86.30293898999999,-1.1697848,0.001,38.3308375255596,163254,24,6783
488,164944,338.0,40.850581897081,-86.44224887000001,-0.9617127,0.001,32.18610901804365,164606,24,6829
